base_name,Record Id,Product Owner.id,Product Owner,Product Name,Product Code,Vendor Name.id,Vendor Name,Product Active,Manufacturer,Product Category,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Unit Price,Commission Rate,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler.id,Handler,Quantity in Demand,Description,Tag,Inventory,Locked,Last Activity Time,Product Sub Category,Color/Finish,Ususal Price,Channel Price,OEM Price,TMS %,Deal Price,BOM MU Check,Ship Mode,Total Weight,Installation Mode,Product Type,CRM ID,Connected To.module,Connected To.id,Tax Rate
Alex-5 Layer Narrow Design Bookshelf,zcrm_4301492000069868904,zcrm_4301492000066416001,Suraj Patel,Alex-5 Layer Narrow Design Bookshelf,SB-AXA-51,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Bookshelf,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:43:35,7299.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:43:35,,Brown Maple,4199.0,3697.0,0.0,0.0,0.0,,,19850.0,,Parent,3961202000000711047,,,
Alex-5 Layer Wide Bookshelf,zcrm_4301492000069868853,zcrm_4301492000066416001,Suraj Patel,Alex-5 Layer Wide Bookshelf,SB-AXA-52,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Bookshelf,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:43:35,10499.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:43:35,,Wenge,5849.0,5489.0,0.0,0.0,0.0,,,30450.0,,Parent,3961202000000713059,,,
Amalet Study Table,zcrm_4301492000069868811,zcrm_4301492000066416001,Suraj Patel,Amalet Study Table,ST-AML,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Study Table,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:44:15,7299.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:44:15,,Brown Maple & Beige,4399.0,4094.0,0.0,0.0,0.0,,,18890.0,,Parent,3961202000000713095,,,
Anatdol Standard Coffee Table,zcrm_4301492000069868857,zcrm_4301492000066416001,Suraj Patel,Anatdol Standard Coffee Table,CT-ATD,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Coffee Table,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:43:35,6599.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:43:35,,Brown Maple,2599.0,1917.0,0.0,0.0,0.0,,,15800.0,,Parent,3961202000000706055,,,
Anatdol TV Unit,zcrm_4301492000069868276,zcrm_4301492000066416001,Suraj Patel,Anatdol TV Unit Brown Maple,TU-ATD-M,zcrm_4301492000003548093,Bluewud India,True,Bluewud,TV Unit,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,6899.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,Floor Standing TV Unit,Brown Maple,4399.0,4024.0,0.0,0.0,0.0,,,21430.0,,Child,3961202000000704155,,,
Andrie 2 Door with Mirror Wardrobe,zcrm_4301492000069868284,zcrm_4301492000066416001,Suraj Patel,Andrie 2 Door with Mirror Wardrobe Wenge & White,W-AND-2MFW,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wardrobe,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,25799.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Wenge & White,15799.0,16197.0,0.0,0.0,0.0,,,33900.0,,Child,3961202000000706191,,,
Andrie 2 Door without Mirror Wardrobe,zcrm_4301492000069868845,zcrm_4301492000066416001,Suraj Patel,Andrie 2 Door without Mirror Wardrobe,W-AND-2N,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wardrobe,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:44:15,24299.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:44:15,,Wenge & White,14999.0,14717.0,0.0,0.0,0.0,,,78001.0,,Parent,3961202000000707051,,,
Andrie 3 Door with Mirror Wardrobe,zcrm_4301492000069868281,zcrm_4301492000066416001,Suraj Patel,Andrie 3 Door with Mirror Wardrobe Wenge & White,W-AND-3MFW,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wardrobe,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,31599.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Wenge & White,20199.0,20952.0,0.0,0.0,0.0,,,29140.0,,Child,3961202000000713175,,,
Andrie 3 Door without Mirror Wardrobe,zcrm_4301492000069868301,zcrm_4301492000066416001,Suraj Patel,Andrie 3 Door without Mirror Wardrobe Wenge & White,W-AND-3NFW,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wardrobe,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,28699.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Wenge & White,19199.0,19906.0,0.0,0.0,0.0,,,29140.0,,Child,3961202000000716139,,,
Andrie 4 Door with Mirror Wardrobe,zcrm_4301492000069868848,zcrm_4301492000066416001,Suraj Patel,Andrie 4 Door with Mirror Wardrobe,W-AND-4M,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wardrobe,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:44:15,41599.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:44:15,,Brown Maple & Beige,26599.0,28286.0,0.0,0.0,0.0,,,136820.0,,Parent,3961202000000712035,,,
Andrie 4 Door without Mirror Wardrobe,zcrm_4301492000069868279,zcrm_4301492000066416001,Suraj Patel,Andrie 4 Door without Mirror Wardrobe Wenge & White,W-AND-4NFW,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wardrobe,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,39999.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Wenge & White,25999.0,27161.0,0.0,0.0,0.0,,,44650.0,,Child,3961202000000709135,,,
Andrie Door Wardrobe,zcrm_4301492000069868855,zcrm_4301492000066416001,Suraj Patel,Andrie Single Door Wardrobe,W-AND-10N,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wardrobe,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:43:35,15799.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:43:35,,Wenge & White,9099.0,7923.0,0.0,0.0,0.0,,,45000.0,,Parent,3961202000000706059,,,
Andrie Door with Two Drawer Wardrobe,zcrm_4301492000069868878,zcrm_4301492000066416001,Suraj Patel,Andrie Single Door with Two Drawer Wardrobe,W-AND-12N,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wardrobe,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:43:35,18899.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:43:35,,Wenge & White,10699.0,9541.0,0.0,0.0,0.0,,,48400.0,,Parent,3961202000000710047,,,
Asburg 6 Layer Bookshelf,zcrm_4301492000069868366,zcrm_4301492000066416001,Suraj Patel,Asburg 6 Layer Bookshelf Brown Maple,SB-ASG-M,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Bookshelf,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,4799.0,0.0,Box,0,0,0,,,0,"BLUEWUD Asburg Engineered Wood Bookshelf Cabinet, a masterpiece of modern design and functionality. Crafted from premium engineered wood with a stunning Highland Teak finish, this bookshelf seamlessly blends durability with elegance. Its sleek, contemporary lines make it a versatile addition to any decor, while the multiple spacious shelves provide ample room for organizing books, showcasing decorative items, and storing essentials. The floor-standing design ensures stability, making it an ideal choice for those who want a stylish yet practical storage solution without the hassle of wall mounting. Whether you're curating a home library or looking to add a sophisticated touch to your living area, the BLUEWUD Asburg Bookshelf Cabinet combines form and function to create a statement piece that enhances any room's aesthetic appeal.",,,False,2025-09-19 11:38:48,,Brown Maple,2999.0,2757.0,0.0,0.0,0.0,,,15800.0,,Child,3961202000000713147,,,
Astrella Wall Shelve,zcrm_4301492000069868930,zcrm_4301492000066416001,Suraj Patel,Astrella Wall Shelve,S-ATL,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wall Shelves,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:43:35,2299.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:43:35,,Wenge,1199.0,723.0,0.0,0.0,0.0,,,3800.0,,Parent,3961202000000715015,,,
Averyl TV Unit,zcrm_4301492000069868812,zcrm_4301492000066416001,Suraj Patel,Averyl TV Unit,TU-AYL,zcrm_4301492000003548093,Bluewud India,True,Bluewud,TV Unit,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:44:15,6199.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:44:15,Floor Standing TV Unit,Brown Maple,3549.0,3059.0,0.0,0.0,0.0,,,16800.0,,Parent,3961202000000706091,,,
BLUEWUD Charlie Wall Mounted Magazine Holder Rack Cum Newspaper Stand,zcrm_4301492000067967113,zcrm_4301492000066419001,Roshan Kumar,BLUEWUD Charlie Wall Mounted Magazine Holder Rack Cum Newspaper Stand,LK-GQE0-TYU8,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Magzine Holder,zcrm_4301492000066419001,Roshan Kumar,zcrm_4301492000000425001,Ankita Singh,2025-07-28 18:02:00,2025-09-19 11:38:48,,,Box,0,0,0,,,0,"Use This As a Part Of Our Suite Of Wooden Newspaper & Magazines Stand To Completely Furnish Your Waiting Room. It is Perfect For Storing, Organizing, And Displaying A Variety Of Documents, Reports, Newspapers, Magazines And File Folders. A beautiful and stylish arrangement for your Magazines, News Papers, Documents, Files, Note Pad.",,,False,2025-09-19 11:38:48,,Wenge & White,,,,,,,,,,Child,3961202000000714135,,,
"BLUEWUD Kasvon Engineered Wood Coffee Center Sofa Tea/Teapoy Console Table with Metal Legs for Sofa Set Living Room Home Hall (Rectangle, )",zcrm_4301492000001761221,zcrm_4301492000000425001,Ankita Singh,"BLUEWUD Kasvon Engineered Wood Coffee Center Sofa Tea/Teapoy Console Table with Metal Legs for Sofa Set Living Room Home Hall (Rectangle, Brown Maple)",CT-KV-RTM-Old,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Furniture,zcrm_4301492000000425001,Ankita Singh,zcrm_4301492000000425001,Ankita Singh,2020-12-21 17:16:22,2025-09-18 14:45:50,0.0,0.0,Quantity,0,0,0,,,0,"BLUEWUD Kasvon Engineered Wood Coffee Table, a stylish and functional centerpiece for your living room. Crafted from premium engineered wood with a rich brown maple finish, this coffee table adds a touch of modern elegance to any home decor. The rectangular design offers ample surface space for serving tea, coffee, or snacks, while the integrated storage box beneath the tabletop provides a convenient solution for organizing magazines, remotes, or other living room essentials. Perfectly suited for placement in front of a sofa or as a centerpiece in your hall, the Kasvon Coffee Table combines practicality with contemporary design, making it a must-have addition to your home.",,0.0,False,2025-09-18 14:45:50,Coffee Tables,,,,,,,,,,,,3961202000000714147,,,
BLUEWUD Maltein Engineered Wood Diwan Day Bed with Storage Box for Kids Adult Bedroom Living Room Home Furniture ( / 72 X 30 Mattress Size),zcrm_4301492000001739132,zcrm_4301492000000425001,Ankita Singh,BLUEWUD Maltein Engineered Wood Single Diwan Day Bed with Storage Box for Kids Adult Bedroom Living Room Home Furniture (Brown Maple / 72 X 30 Mattress Size),B-MLT-D30TM-R1,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wardrobe,zcrm_4301492000000425001,Ankita Singh,zcrm_4301492000000425001,Ankita Singh,2020-12-19 16:35:15,2025-09-18 14:45:50,0.0,0.0,Box,0,0,0,zcrm_4301492000026904001,Bluewud CRM,0,"BLUEWUD Maltein Engineered Wood Single Diwan Day Bed with Storage Box for Kids, Adults, Bedroom, Living Room Home Furniture – DIY (Brown Maple / 72 x 30 Mattress Size) Bring style and functionality together with the BLUEWUD Maltein Single Diwan Day Bed, designed to add comfort and smart storage to your home. Perfect for kids’ or adults’ bedrooms, living rooms, or guest areas, this day bed features a spacious storage box underneath to neatly tuck away extra bedding, toys, or essentials. Crafted from premium engineered wood in an elegant Brown Maple finish, it blends seamlessly with modern interiors. Its 72 x 30 inch mattress size offers cozy seating or sleeping space. Comes in a DIY format with an easy-to-follow instruction manual for quick assembly.",,0.0,False,2025-09-18 14:45:50,Beds,Brown Maple,,,,,,,,,,,3961202000000703163,,,
"BLUEWUD Vivid Wooden Wall Hanging, Wall Mount Key Holder, for 5 Keys",zcrm_4301492000067967097,zcrm_4301492000066419001,Roshan Kumar,"BLUEWUD Vivid Wooden Wall Hanging, Wall Mount Key Holder, for 5 Keys",KH-VD-PN,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Key Holder,zcrm_4301492000066419001,Roshan Kumar,zcrm_4301492000000425001,Ankita Singh,2025-07-28 17:58:08,2025-09-19 11:38:48,0.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Wenge,0.0,0.0,0.0,0.0,0.0,,,430.0,,Child,3961202000000710143,,,
Barnia Bookshelf,zcrm_4301492000070103291,zcrm_4301492000066416001,Suraj Patel,Barnia Bookshelf,SB-BNA,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Bookshelf,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:01,2025-09-18 14:42:38,6199.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:42:38,,Brown Maple,3499.0,2862.0,0.0,0.0,0.0,,,16000.0,,Parent,3961202000000713039,,,
Bevlyn TV Unit,zcrm_4301492000069868838,zcrm_4301492000066416001,Suraj Patel,Bevlyn TV Unit,TU-BVN,zcrm_4301492000003548093,Bluewud India,True,Bluewud,TV Unit,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:44:15,8999.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:44:15,Floor Standing TV Unit,Brown Maple,4799.0,5036.0,0.0,0.0,0.0,,,28300.0,,Parent,3961202000000704079,,,
Blesky Miltra Combo TV Unit,zcrm_4301492000069868248,zcrm_4301492000066416001,Suraj Patel,Blesky Miltra Combo TV Unit Brown Maple,TU-BKMT-M,zcrm_4301492000003548093,Bluewud India,True,Bluewud,TV Unit,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,15799.0,0.0,Box,0,0,0,,,0,"BLUEWUD Blesky Miltra TV Entertainment Unit, a multifunctional and stylish solution for your home entertainment and storage needs. Designed to accommodate TVs up to 55 inches, this unit features a sleek combination of a TV cabinet and wall shelves, crafted from high-quality engineered wood with a refined brown maple finish. Its versatile design offers ample space for your set-top box, books, and decorative items, ensuring a clutter-free and organized living area. The DIY assembly makes it easy to set up, while the wall-mounted shelves add a modern touch to your decor. Perfect for living rooms or bedrooms, the BLUEWUD Blesky Miltra TV Unit blends practicality with contemporary elegance.",,,False,2025-09-19 11:38:48,Floor Standing TV Unit,Brown Maple,8999.0,8761.0,0.0,0.0,0.0,,,32700.0,,Child,3961202000000713163,,,
Blesky Mini TV Unit,zcrm_4301492000069868817,zcrm_4301492000066416001,Suraj Patel,Blesky Mini TV Unit,TU-BKY-ST,zcrm_4301492000003548093,Bluewud India,True,Bluewud,TV Unit,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:44:15,9299.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:44:15,Floor Standing TV Unit,Brown Maple,5499.0,4897.0,0.0,0.0,0.0,,,26000.0,,Parent,3961202000000706063,,,
Blesky TV Unit,zcrm_4301492000069868802,zcrm_4301492000066416001,Suraj Patel,Blesky TV Unit,TU-BKY,zcrm_4301492000003548093,Bluewud India,True,Bluewud,TV Unit,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:44:15,8999.0,0.0,Box,0,0,0,,,0,"BLUEWUD Blesky Engineering Wood Floor Standing TV Entertainment Unit, a sophisticated and functional centerpiece for your living space. Designed to accommodate TVs up to 75 inches, this unit is crafted from premium engineered wood in a classic finish. It features multiple shelves, offering ample storage for your set-top box, books, and decorative items, ensuring a clutter-free and organized look. The wall-mounted design not only saves floor space but also adds a sleek, modern aesthetic to your living or bedroom. Elevate your home entertainment experience with the BLUEWUD Blesky TV Unit, where style meets practicality.",,,False,2025-09-18 14:44:15,Floor Standing TV Unit,Brown Maple,6499.0,6576.0,0.0,0.0,0.0,,,32700.0,,Parent,3961202000000712051,,,
Bonco Wardrobe,zcrm_4301492000069868776,zcrm_4301492000066416001,Suraj Patel,Bonco Wardrobe Brown Maple & White,W-BNO-MF,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wardrobe,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-19 11:38:48,12599.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Brown Maple & White,7299.0,6842.0,0.0,0.0,0.0,,,39000.0,,Child,3961202000000706071,,,
Braine 6 Shelves Wall Shelve,zcrm_4301492000069868371,zcrm_4301492000066416001,Suraj Patel,Braine 6 Shelves Wall Shelve Walnut,S-BR-6L,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wall Shelves,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,2699.0,0.0,Box,0,0,0,,,0,"BLUEWUD Braine Engineered Wood Multipurpose Wall Decor Shelf offers versatile storage options with six square shelves, suitable for displaying decorative items, books, or essentials in your living room. Its dual functionality allows for both floating and free-standing installation, providing flexibility in placement. Crafted from engineered wood with a sleek finish, it adds a modern touch to your home decor. Whether mounted on the wall or placed on the floor, this shelf enhances the aesthetic appeal of your living space while providing practical storage solutions",,,False,2025-09-19 11:38:48,,Walnut,1419.0,1026.0,0.0,0.0,0.0,,,3890.0,,Child,3961202000000704127,,,
Braine F6 Shelves Wall Shelve,zcrm_4301492000069868410,zcrm_4301492000066416001,Suraj Patel,Braine F6 Shelves Wall Shelve Brown Maple,S-BR-F6M,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wall Shelves,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,3199.0,0.0,Box,0,0,0,,,0,"This wall dÃ©cor and corner shelf come with a unique design that fits perfectly on your home and office walls. It has multi-tiring shelves rack spaces to keep your special antique or showpiece items. The dimensions of the shelf are spacious for placing your decorative items or even your favorite novels. The attractive design and structure of the shelf have been a result of proper architectural research done on the dimensions of the Indian Styled houses, such that it fits perfectly in any and every home and best fits as a living room shelf. The look of the shelf will give a unique perspective to your living room, bedroom, dining room, and your office too.",,,False,2025-09-19 11:38:48,,Brown Maple,1799.0,1295.0,0.0,0.0,0.0,,,6500.0,,Child,3961202000000711123,,,
Brooklyn Highline Shoe Rack,zcrm_4301492000069868774,zcrm_4301492000066416001,Suraj Patel,Brooklyn Highline Shoe Rack Brown Maple,SR-BKN-HM,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Shoe Rack,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-19 11:38:48,18299.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Brown Maple,10799.0,10263.0,0.0,0.0,0.0,,,59900.0,,Child,3961202000000717043,,,
Brooklyn Shoe Rack,zcrm_4301492000069868252,zcrm_4301492000066416001,Suraj Patel,Brooklyn Shoe Rack Brown Maple,SR-BKN-M,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Shoe Rack,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,7999.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Brown Maple,4899.0,4452.0,0.0,0.0,0.0,,,19850.0,,Child,3961202000000706199,,,
